40	1700945364		5	10:02:50	01:59:38(-9)	2:03:21	0:53:33		0:21:09	1:45:09						
41	1700945422		5	10:06:29	00:14:52(-1)	1:14:51	01:34:01(-4)	2:13:24	3:09:21							
42	1700945181杛沝辽(jojo23333)		5	10:19:34	00:19:25(-1)	0:37:31	01:47:56(-1)	03:18:42(-6)	01:16:00(-1)							
43	1700942449於劺		5	10:38:18	00:54:34(-1)	1:18:27	02:28:16(-1)	3:14:19	01:02:42(-3)							
44	Pyp	北京大学	5	11:29:06	01:17:07(-5)	00:46:25(-1)	0:22:22	(-2)	01:15:36(-1)		03:07:36(-7)					
45	1600012723-陕夶宔	北京大学	5	12:20:54	00:11:14(-4)	0:20:32	00:40:13(-1)		03:54:02(-10)	(-11)			2:14:53			
46	1700944644		5	12:21:09	00:36:22(-8)	1:23:45	02:46:11(-1)	(-2)	1:25:22	3:09:29						
47	1700945303		5	12:43:19	0:14:38	0:50:00	01:42:23(-4)	03:14:18(-1)	03:42:00(-4)							
48	1700945564		5	13:09:23	00:14:44(-1)	0:43:26	02:18:34(-5)	03:44:05(-1)	3:48:34	(-1)						
49	1700943534		5	13:37:03	(-4)	01:45:03(-2)	(-4)	3:21:45	2:03:47		3:32:54	2:13:34				
50	1700943237		5	14:20:32	03:20:25(-8)	1:59:15	01:39:01(-1)	3:16:28	1:05:23							
51	1700945522		5	14:24:01	00:46:40(-5)	1:15:19	02:18:45(-1)	3:48:51	03:14:26(-3)							
52	1700945535(zhoutiank(1700945535(呵甽易))		5	16:49:19	2:42:55	03:02:28(-3)	03:17:14(-2)	(-1)	01:52:21(-3)	3:14:21						
53	1700943807	丩卤大学	5	17:15:03	01:23:35(-8)	2:09:22	03:11:15(-4)	3:33:32	2:57:19							
54	1600011740(k205227)	北京大学	4	2:49:50	00:05:19(-1)	0:18:30	0:45:18		1:20:43						(-4)	
55	1600017781	北京大学	4	4:50:51	00:06:30(-2)	0:48:45	00:38:13(-2)	(-4)	01:37:23(-1)		(-4)					
56	Howllow(1600012896)	北京大学	4	4:59:57	00:05:11(-1)	00:29:26(-1)	01:03:34(-2)	01:21:46(-2)	(-19)							
57	1700945392		4	6:44:45	00:17:03(-2)	0:45:44	01:21:52(-1)	3:20:06	(-11)							
58	1700941056(Ares)		4	7:18:00	00:15:49(-2)	00:57:38(-2)	02:10:22(-4)		1:14:11							
59	1700944257(呁雵徻)		4	7:21:40	00:40:27(-3)	1:00:51	(-3)		2:17:35		2:22:47	(-2)		(-1)		
60	1700942678		4	7:23:56	02:55:53(-3)	0:23:00	01:43:51(-2)		0:41:12		(-1)					
61	翬彳禇(zzz-yq)		4	7:43:01	01:01:51(-1)	1:56:32	2:07:38		00:57:00(-4)							
62	1700944250陕泠亳		4	8:06:20	00:31:48(-3)	1:57:59			2:21:29		2:15:04	(-7)				
63	1700943071		4	8:17:46	00:28:35(-4)	01:13:54(-2)	2:46:09		1:49:08							
64	1700945275	北京大学	4	8:35:17	00:35:09(-2)	1:31:11		02:20:43(-3)	01:48:14(-2)							
65	1500012859	北京大学	4	8:35:32	00:12:15(-2)	0:51:06	1:14:34	03:57:37(-5)	(-5)							
66	1700940321		4	8:37:20	00:40:19(-3)	1:24:16	2:35:03		2:57:42							
67	1700940482		4	8:47:10	02:54:36(-2)	1:32:31	1:12:23	(-1)	2:27:40							
